make,model,price,fuel,mileage,gear,registration,hp,owner,body,car_condition,seats,doors,consumption,emission,color,car_id,displacement,drive_type,link
Audi ,Q3,"€ 40.980,-1",Benzin,41.350 km,Automatik,02/2021,169 kW (230 PS),2.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"3,4 l/100 km (komb.)",0 g/km (komb.),Schwarz,185034,1.984 cm³,Allrad,https://www.autoscout24.de/angebote/smart-forfour-smart-eq-cool-u-audio-elektro-schwarz-e5c8fc49-766c-4871-9188-7e54d95e5570
Audi ,Q3,"€ 38.675,-1",Benzin,27.100 km,Automatik,06/2021,110 kW (150 PS),2.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,7 l/100 km (komb.),159 g/km (komb.),Weiß,1142381,1.498 cm³,Front,https://www.autoscout24.de/angebote/smart-forfour-eq-passion-exclusive-vollausstattung-elektro-schwarz-f77b1716-c74c-4302-8cd0-2e1328ac6038
Audi ,Q3,"€ 34.630,-1",Benzin,20.924 km,Automatik,02/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"5,8 l/100 km (komb.)",0 g/km (komb.),Grau,G071053073,1.498 cm³,Front,https://www.autoscout24.de/angebote/smart-forfour-smart-eq-forfour-4-6-kw-cool-audio-klima-15-elektro-rot-f5ea0acc-d012-4cb2-a9c1-a2192c14fbf0
Audi ,Q3,"€ 36.475,-1",Benzin,23.127 km,Automatik,06/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"6,9 l/100 km (komb.)",0 g/km (komb.),Schwarz,1142589,1.498 cm³,Front,https://www.autoscout24.de/angebote/bmw-i3-120ah-led-navi-dab-tempomat-pdc-comfort-paket-elektro-weiss-bbeef568-f9c6-42b3-8e8f-ce445a929ac2
Audi ,Q3,"€ 44.440,-1",Benzin,12.449 km,Automatik,12/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"5,8 l/100 km (komb.)",0 g/km (komb.),Schwarz,2799,1.498 cm³,Front,https://www.autoscout24.de/angebote/bmw-i3-120ah-dab-elektro-weiss-9f49056d-6f14-476e-aabc-76df46c10c79
Audi ,Q3,"€ 52.960,-1",Benzin,9.900 km,Automatik,07/2021,180 kW (245 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"7,1 l/100 km (komb.)",0 g/km (komb.),Blau,1138031,1.984 cm³,Allrad,https://www.autoscout24.de/angebote/bmw-i3-120ah-led-dab-tuner-pdc-sprachbediensystem-elektro-weiss-5fa3d0dd-090d-45f4-8975-cb770a8e4f06
Audi ,Q3,"€ 52.960,-1",Benzin,9.900 km,Automatik,07/2021,180 kW (245 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"7,1 l/100 km (komb.)",163 g/km (komb.),Blau,1138031,1.984 cm³,Allrad,https://www.autoscout24.de/angebote/bmw-i3-120-ah-naviprof-2j-bps-garantie-elektro-weiss-83db27be-5ab0-47f4-868f-dbfea37a5543
Audi ,Q3,"€ 35.500,-",Benzin,12.121 km,Automatik,06/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"5,8 l/100 km (komb.)",111 g/km (komb.),Blau,,1.498 cm³,Heck,https://www.autoscout24.de/angebote/bmw-i3-120-ah-led-pano-navi-leder-rfk-shz-dab-virtuco-elektro-weiss-75ae2f04-5893-4839-9368-bf30386f6698
Audi ,Q3,"€ 37.450,-",Benzin,5.758 km,Automatik,07/2021,169 kW (230 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"4,5 l/100 km (komb.)",0 g/km (komb.),Rot,362,1.984 cm³,Allrad,https://www.autoscout24.de/angebote/bmw-i3-120-ah-led-pano-navi-pdc-rfk-shz-dab-20-virtuco-elektro-weiss-c79b896b-acf8-406a-9226-20cac8d4a068
Audi ,Q3,"€ 41.880,-",Benzin,15.467 km,Automatik,08/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"1,4 l/100 km (komb.)",0 g/km (komb.),Schwarz,583-189(2),1.395 cm³,Front,https://www.autoscout24.de/angebote/bmw-i3-120-ah-ledcomfort-paketpdc-dab-ablage-paket-elektro-weiss-fbeb4615-fbb0-4551-9ed2-3f1adad28ee7
Audi ,Q3,"€ 35.490,-",Benzin,9.900 km,Automatik,06/2021,110 kW (150 PS),3.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"3,8 l/100 km (komb.)",101 g/km (komb.),Silber,,1.498 cm³,Front,https://www.autoscout24.de/angebote/bmw-i3-s-driving-assistant-prof-navi-prof-adapt-led-rfk-elektro-blau-2e9122cb-b0a8-45d5-851b-a5eeb967babc
Audi ,Q3,"€ 40.880,-1",Benzin,19.104 km,Automatik,12/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"5,8 l/100 km (komb.)",0 g/km (komb.),Blau,7154981,1.498 cm³,Heck,https://www.autoscout24.de/angebote/bmw-i3-s-120-ah-harman-kardon-applecarplay-navi-pr-elektro-schwarz-d802b656-1b9e-4ae0-99e5-79da4fd61262
Audi ,Q3,"€ 38.900,-1",Benzin,8.526 km,Automatik,07/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Vorführfahrzeug,5.0,4.0,"6,1 l/100 km (komb.)",0 g/km (komb.),Grau,226-22074,1.498 cm³,Front,https://www.autoscout24.de/angebote/bmw-i3-basis-edrive-120ah-park-assistent-led-scheinwerfer-elektro-grau-9f714eb0-d50b-41b1-8831-b5925544409d
Audi ,Q3,"€ 35.999,-",Benzin,14.000 km,Automatik,10/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"4,1 l/100 km (komb.)",0 g/km (komb.),Grau,,1.498 cm³,Front,https://www.autoscout24.de/angebote/bmw-i3-s-120-ah-dab-led-acc-kamera-navi-prof-alu-20-elektro-schwarz-3bf477bf-96ac-4ba4-b67b-373b6da38a2e
Audi ,Q3,"€ 40.880,-1",Benzin,22.442 km,Automatik,12/2021,110 kW (150 PS),2.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"5,8 l/100 km (komb.)",0 g/km (komb.),Blau,7154964,1.498 cm³,,https://www.autoscout24.de/angebote/bmw-i3-120-ah-top-gepflegt-winterreifen-mwst-ausweisbar-elektro-blau-c58f05eb-83c3-49fb-83fc-586e822bf8c1
Audi ,Q3,"€ 34.450,-1",Benzin,26.654 km,Automatik,06/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,4.0,4.0,"6,1 l/100 km (komb.)",0 g/km (komb.),Grau,2061943968,1.498 cm³,Front,https://www.autoscout24.de/angebote/bmw-i3-120-ah-navi-bluetooth-pdc-mp3-schn-klima-elektro-weiss-8e8f048a-7685-49a8-ab69-bd481c2d65c6
Audi ,Q3,"€ 36.790,-1",Benzin,16.500 km,Schaltgetriebe,02/2021,110 kW (150 PS),2.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"5,6 l/100 km (komb.)",0 g/km (komb.),Schwarz,1071763,1.498 cm³,Front,https://www.autoscout24.de/angebote/bmw-i3-s-120-ah-dab-led-wlan-rfk-navi-prof-tempomat-elektro-schwarz-e8dff542-9e0b-4b35-afeb-cedd99256d09
Audi ,Q3,"€ 35.900,-",Benzin,17.700 km,Automatik,07/2021,140 kW (190 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"6,7 l/100 km (komb.)",0 g/km (komb.),Schwarz,,1.984 cm³,Allrad,https://www.autoscout24.de/angebote/bmw-i3-s-120-ah-dab-led-wlan-gsd-rfk-navi-prof-shz-elektro-da85cde6-584b-4c07-82ee-9c131f0606f7
Audi ,Q3,"€ 28.980,-1",Benzin,67.000 km,Schaltgetriebe,02/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"5,6 l/100 km (komb.)",0 g/km (komb.),Grau,,1.498 cm³,,https://www.autoscout24.de/angebote/bmw-i3-120ah-sportpaket-dab-led-wlan-navi-prof-shz-elektro-weiss-cc883ed5-f354-4057-9c87-540cec96919c
Audi ,Q3,"€ 43.000,-",Benzin,15.000 km,Automatik,09/2021,140 kW (190 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"6,7 l/100 km (komb.)",0 g/km (komb.),Grau,,1.984 cm³,Front,https://www.autoscout24.de/angebote/bmw-i3-120ah-dab-led-wlan-rfk-navi-prof-tempomat-elektro-weiss-0bb704c1-936f-4f1c-a830-816d64c955cd
Audi ,Q3,"€ 36.000,-1",Benzin,10 km,Schaltgetriebe,02/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"5,6 l/100 km (komb.)",0 g/km (komb.),Schwarz,953737,1.498 cm³,Front,https://www.autoscout24.de/angebote/bmw-i3-120ah-dab-elektro-weiss-fc389ff8-5d77-440d-b532-1b76f1d49da1
Audi ,Q3,"€ 47.890,-",Benzin,28.000 km,Automatik,04/2021,180 kW (245 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"4,1 l/100 km (komb.)",0 g/km (komb.),Blau,1114994,1.984 cm³,Allrad,https://www.autoscout24.de/angebote/bmw-i3-120ah-dab-elektro-schwarz-c80ccf7b-0319-4d58-b1b1-3fa3cb161dec
Audi ,Q3,"€ 41.850,-",Benzin,9.520 km,Automatik,11/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"3,9 l/100 km (komb.)",0 g/km (komb.),Grau,1038739,1.498 cm³,Front,https://www.autoscout24.de/angebote/smart-forfour-eq-passion-navi-schnelllader-eph-hinten-elektro-blau-760562ab-2a2c-46a7-ac8a-a52334db8aff
Audi ,Q3,"€ 36.900,-",Benzin,17.000 km,Automatik,04/2021,110 kW (150 PS),2.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"4,1 l/100 km (komb.)",0 g/km (komb.),Schwarz,,1.498 cm³,Front,https://www.autoscout24.de/angebote/smart-forfour-60kw-eq-klima-radio-dab-sitzhzg-elektro-schwarz-f46e82cf-da21-4757-8b0e-60b4d6231fe5
Audi ,Q3,"€ 49.990,-",Benzin,12.136 km,Automatik,03/2021,180 kW (245 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"7,2 l/100 km (komb.)",0 g/km (komb.),Blau,145097,1.984 cm³,Allrad,https://www.autoscout24.de/angebote/smart-forfour-forfour-eq-prime-einparkhilfe-sitzheiz-22kw-bord-elektro-weiss-96c62f6e-d125-4b7e-8acd-0a2add7449e8
Audi ,Q3,"€ 47.580,-1",Benzin,14.500 km,Automatik,08/2021,180 kW (245 PS),2.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"1,6 l/100 km (komb.)",0 g/km (komb.),Grau,07717_TRW,1.395 cm³,Front,https://www.autoscout24.de/angebote/smart-forfour-forfour-eq-passion-exclusive-led-shz-pano-cam-elektro-rot-d1809962-7a78-4339-b94f-4025c4b6904d
Audi ,Q3,"€ 48.620,-1",Benzin,27.576 km,Automatik,09/2021,180 kW (245 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"7,5 l/100 km (komb.)",171 g/km (komb.),Grau,B72322,1.984 cm³,Allrad,https://www.autoscout24.de/angebote/smart-forfour-eq-passion-schnelllader-winter-paket-elektro-grau-0ecd3bd1-e862-4fb8-919e-91fbf865aaa3
Audi ,Q3,"€ 47.420,-1",Benzin,13.250 km,Automatik,06/2021,180 kW (245 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,4 l/100 km (komb.),99 g/km (komb.),Blau,22819P119,1.984 cm³,Allrad,https://www.autoscout24.de/angebote/smart-forfour-eq-passion-winter-paket-schnelllader-elektro-grau-3906c8b9-22a7-4687-932f-7875f6768468
Audi ,Q3,"€ 36.950,-1",Benzin,13.918 km,Automatik,04/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"5,7 l/100 km (komb.)",149 g/km (komb.),Grau,08041,1.498 cm³,Front,https://www.autoscout24.de/angebote/smart-forfour-eq-passion-winter-paket-schnelllader-elektro-grau-67550f49-16a9-4272-92fc-1b8a53b06166
Audi ,Q3,"€ 39.730,-1", Benzin,13.300 km,Automatik,08/2021,180 kW (245 PS),2.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"1,4 l/100 km (komb.)",0 g/km (komb.),Weiß,17200_Sup,1.395 cm³,Front,https://www.autoscout24.de/angebote/smart-forfour-eq-4xsitzheizung-jbl-rueckfahrkamera-22kw-elektro-fea8db27-3e3d-4564-ad39-2b8b1915059d
Audi ,Q3,"€ 53.760,-1",Benzin,10.355 km,Automatik,06/2021,180 kW (245 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"7,2 l/100 km (komb.)",0 g/km (komb.),Grau,1151526,1.984 cm³,Allrad,https://www.autoscout24.de/angebote/smart-forfour-smart-eq-forfour-lm-sd-klimaa-pdc-elektro-rot-0143fa2f-2e87-4ad0-8ca1-876703ded593
Audi ,Q3,"€ 37.489,-1",Benzin,42.915 km,Automatik,04/2021,110 kW (150 PS),2.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"5,8 l/100 km (komb.)",0 g/km (komb.),Schwarz,70-86139,1.498 cm³,Front,https://www.autoscout24.de/angebote/smart-forfour-eq-60kw-exklusiv-paket-led-scheinw-22kw-passion-elektro-schwarz-06471746-d4bb-462e-8855-ecd61685fcc2
Audi ,Q3,"€ 35.950,-1",Benzin,8.756 km,Schaltgetriebe,10/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"4,3 l/100 km (komb.)",0 g/km (komb.),Weiß,DQ3-5655G,1.498 cm³,Front,https://www.autoscout24.de/angebote/smart-forfour-eq-60kw-passion-advanced-plus-paket-shz-elektro-blau-2f4779f0-50f5-4721-8b50-1fe0234c9032
Audi ,Q3,"€ 35.900,-1",Benzin,20.019 km,Automatik,02/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"5,8 l/100 km (komb.)",0 g/km (komb.),Grau,221-23001,1.498 cm³,Front,https://www.autoscout24.de/angebote/smart-forfour-smart-eq-lm-sd-klimaa-pdc-elektro-rot-345e7d88-1f3a-4433-8e70-d72bb1cb3c28
Audi ,Q3,"€ 41.900,-",Benzin,15.900 km,Automatik,11/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"5,8 l/100 km (komb.)",0 g/km (komb.),Grau,,1.498 cm³,Front,https://www.autoscout24.de/angebote/smart-forfour-eq-22-kw-lader-cool-audio-paket-shz-tempomat-elektro-schwarz-ab679665-1e17-4b1e-be81-2ab9a66e60f4
Audi ,Q3,"€ 45.555,-1",Benzin,11.539 km,Automatik,10/2021,140 kW (190 PS),2.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"4,3 l/100 km (komb.)",0 g/km (komb.),Grau,77BAKFLS,1.984 cm³,Allrad,https://www.autoscout24.de/angebote/smart-forfour-eq-elektro-schwarz-1c7ab128-af36-4bbb-97f2-bd63319de1d5
Audi ,Q3,"€ 31.820,-1",Benzin,21.850 km,Schaltgetriebe,04/2021,110 kW (150 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"4,3 l/100 km (komb.)",0 g/km (komb.),Orange,22823P23,1.498 cm³,Front,https://www.autoscout24.de/angebote/smart-forfour-eq-cool-audio-dab-elektro-weiss-d45e9aff-1c50-4b3b-9697-8070a12024e2
BMW ,X1,"€ 32.779,-",Benzin,23.333 km,Automatik,06/2021,103 kW (140 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"5,5 l/100 km (komb.)",125 g/km (komb.),Schwarz,173910,1.499 cm³,,https://www.autoscout24.de/angebote/smart-forfour-eq-22kw-bordlader-dab-tempomat-sitzh-elektro-schwarz-dcd1afb3-6cc9-4471-8843-f76dc4dae68b
BMW ,X1,"€ 39.880,-",Benzin,20.000 km,Automatik,03/2021,131 kW (178 PS),2.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"6,3 l/100 km (komb.)",0 g/km (komb.),Schwarz,034-207,1.998 cm³,Allrad,https://www.autoscout24.de/angebote/smart-forfour-eq-elektro-weiss-ac08e8ce-3894-446a-8948-7c288efad30e
BMW ,X1,"€ 34.830,-1",Benzin,12.400 km,Automatik,10/2021,100 kW (136 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"5,9 l/100 km (komb.)",0 g/km (komb.),Schwarz,29138 AHK,1.499 cm³,,https://www.autoscout24.de/angebote/smart-forfour-pano-nav-led-shz-r-cam-shz-dab-tempomat-elektro-weiss-c7260077-5c02-4547-8af4-3f6d43811a43
BMW ,X1,"€ 39.940,-1",Benzin,13.212 km,Automatik,07/2021,170 kW (231 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"6,8 l/100 km (komb.)",0 g/km (komb.),Schwarz,369950,1.998 cm³,Allrad,https://www.autoscout24.de/angebote/smart-forfour-eq-22-kw-lader-cool-audio-paket-shz-tempomat-elektro-schwarz-80f8dc53-8340-4684-a182-d5e26db6d2e8
BMW ,X1,"€ 29.890,-1",Benzin,72.558 km,Automatik,03/2021,131 kW (178 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"4,2 l/100 km (komb.)",0 g/km (komb.),Grau,60307,1.998 cm³,Allrad,https://www.autoscout24.de/angebote/smart-forfour-eq-60kw-passion-advanced-winter-paket-aw-elektro-blau-6f141799-fa30-4469-9fbd-b5f05137e7dd
BMW ,X1,"€ 29.990,-",Benzin,23.400 km,Automatik,12/2021,100 kW (136 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"5,5 l/100 km (komb.)",0 g/km (komb.),Schwarz,,1.499 cm³,Front,https://www.autoscout24.de/angebote/smart-forfour-smart-eq-pure-advanced-pluspaket-shz-nav-klima-bc-elektro-weiss-a4098ee9-bdb9-4b75-8541-c22fa7298e94
BMW ,X1,"€ 35.440,-1",Benzin,43.072 km,Automatik,04/2021,170 kW (231 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"6,8 l/100 km (komb.)",0 g/km (komb.),Schwarz,15041641,1.998 cm³,Allrad,https://www.autoscout24.de/angebote/bmw-i3-120ah-naviprof-dab-comf-paket-wirelesscharge-elektro-grau-62d2beac-6c9d-4da9-8eac-c2e3f5a2c26c
BMW ,X1,"€ 25.500,-1",Benzin,82.000 km,Automatik,08/2021,100 kW (136 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"5,9 l/100 km (komb.)",0 g/km (komb.),Schwarz,,1.499 cm³,Heck,https://www.autoscout24.de/angebote/bmw-i3-120ah-wlan-rfk-navi-prof-tempomat-klimaaut-elektro-weiss-c07b1cf4-a838-48a8-abd5-c2f09616167f
BMW ,X1,"€ 33.990,-1",Benzin,8.771 km,Automatik,12/2021,131 kW (178 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,0 l/100 km (komb.),0 g/km (komb.),Grau,098487,1.998 cm³,Front,https://www.autoscout24.de/angebote/bmw-i3-120-led-wlan-navi-prof-tempomat-klimaaut-elektro-weiss-3bc02942-4275-49f9-ba78-4e9e1e6144f0
BMW ,X1,"€ 34.679,-1",Benzin,3.714 km,Automatik,10/2021,131 kW (178 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,4.0,"6,1 l/100 km (komb.)",0 g/km (komb.),Schwarz,023467,1.998 cm³,Front,https://www.autoscout24.de/angebote/bmw-i3-s-120-ah-navi-bluetooth-pdc-mp3-schn-klima-elektro-schwarz-97dcb6da-9e22-45e8-ae6c-4f2634bb23d1
BMW ,X1,"€ 29.990,-1",Benzin,54.200 km,Automatik,04/2021,100 kW (136 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"5,6 l/100 km (komb.)",127 g/km (komb.),Weiß,3100102,1.499 cm³,,https://www.autoscout24.de/angebote/bmw-i3-s-120-ah-135kw-navi-glasdach-bluetooth-pdc-elektro-blau-45a495c7-d392-415b-8e6e-32e657446605
BMW ,X1,"€ 39.950,-1",Benzin,2.464 km,Automatik,11/2021,131 kW (178 PS),1.0,SUV/Geländewagen/Pickup,Gebraucht,5.0,5.0,"6,1 l/100 km (komb.)",0 g/km (komb.),Grau,180222,1.998 cm³,Front,https://www.autoscout24.de/angebote/bmw-i3-s-120-ah-harman-kardon-rfk-navi-leder-tempo-elektro-blau-d917dfbe-75fc-4d63-92d8-26cb50a69f57
